date,product,category,units_sold,unit_price,revenue,customer_reviews,rating
2024-01-15,Laptop,Electronics,25,899.99,22499.75,45,4.5
2024-01-15,Mouse,Accessories,120,19.99,2398.80,89,4.2
2024-01-15,Keyboard,Accessories,85,49.99,4249.15,67,4.3
2024-01-16,Monitor,Electronics,30,299.99,8999.70,52,4.6
2024-01-16,Webcam,Electronics,42,79.99,3359.58,38,4.1
2024-01-16,Headphones,Accessories,95,59.99,5699.05,112,4.4
2024-01-17,Laptop,Electronics,18,899.99,16199.82,32,4.7
2024-01-17,Desk Chair,Furniture,22,199.99,4399.78,41,4.0
2024-01-17,Desk,Furniture,15,349.99,5249.85,28,4.5
2024-01-18,Mouse,Accessories,145,19.99,2898.55,134,4.3
2024-01-18,Monitor,Electronics,35,299.99,10499.65,61,4.5
2024-01-18,USB Cable,Accessories,200,9.99,1998.00,156,3.9
2024-01-19,Laptop,Electronics,28,899.99,25199.72,51,4.6
2024-01-19,Keyboard,Accessories,78,49.99,3899.22,72,4.4
2024-01-19,Desk Chair,Furniture,19,199.99,3799.81,35,4.2
2024-01-20,Webcam,Electronics,55,79.99,4399.45,63,4.3
2024-01-20,Headphones,Accessories,88,59.99,5279.12,98,4.5
2024-01-20,Monitor,Electronics,40,299.99,11999.60,71,4.7
2024-01-21,Laptop,Electronics,22,899.99,19799.78,42,4.5
2024-01-21,Mouse,Accessories,132,19.99,2638.68,121,4.1
2024-01-21,Desk,Furniture,18,349.99,6299.82,33,4.4
2024-01-22,USB Cable,Accessories,185,9.99,1848.15,142,4.0
2024-01-22,Keyboard,Accessories,92,49.99,4599.08,85,4.6
2024-01-22,Desk Chair,Furniture,25,199.99,4999.75,47,4.3
2024-01-23,Monitor,Electronics,38,299.99,11399.62,68,4.6
2024-01-23,Webcam,Electronics,48,79.99,3839.52,55,4.2
2024-01-23,Headphones,Accessories,102,59.99,6118.98,115,4.5
2024-01-24,Laptop,Electronics,31,899.99,27899.69,58,4.8
2024-01-24,Mouse,Accessories,158,19.99,3158.42,145,4.3
2024-01-24,Desk,Furniture,21,349.99,7349.79,38,4.5
2024-01-25,Keyboard,Accessories,105,49.99,5248.95,98,4.4
2024-01-25,USB Cable,Accessories,215,9.99,2147.85,189,4.1
2024-01-25,Desk Chair,Furniture,28,199.99,5599.72,52,4.4
